,Name,Accuracy,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,f1-score_0,f1-score_1,f1-score_2,f1-score_3,f1-score_4,f1-score_5,f1-score_6,f1-score_7,f1-score_8,f1-score_9,f1-score_10
0,Logistic Regression,0.646,0.679,0.545,0.504,0.4,0.778,0.593,0.414,0.677,0.712,0.539,0.893,0.664,0.638,0.553,0.522,0.678,0.72,0.468,0.714,0.734,0.394,0.867,0.671,0.588,0.527,0.453,0.725,0.65,0.439,0.695,0.723,0.455,0.88
1,Decision Tree,0.39,0.362,0.289,0.3,0.229,0.43,0.45,0.171,0.435,0.548,0.204,0.749,0.382,0.267,0.263,0.275,0.395,0.387,0.194,0.416,0.492,0.254,0.723,0.372,0.277,0.28,0.25,0.412,0.416,0.182,0.425,0.519,0.226,0.735
2,SVC,0.632,0.714,0.575,0.527,0.357,0.725,0.603,0.389,0.623,0.708,0.53,0.891,0.591,0.657,0.509,0.667,0.635,0.753,0.452,0.741,0.719,0.321,0.902,0.647,0.613,0.518,0.465,0.677,0.67,0.418,0.677,0.713,0.4,0.897
3,Random Forest,0.603,0.574,0.604,0.46,0.55,0.548,0.652,0.611,0.624,0.781,0.418,0.834,0.618,0.552,0.509,0.319,0.764,0.645,0.177,0.665,0.641,0.316,0.931,0.595,0.577,0.483,0.404,0.638,0.649,0.275,0.644,0.704,0.36,0.88
4,CatBoost,0.656,0.656,0.593,0.504,0.472,0.739,0.667,0.5,0.66,0.756,0.491,0.892,0.659,0.667,0.518,0.493,0.704,0.731,0.403,0.746,0.703,0.43,0.908,0.658,0.628,0.511,0.482,0.721,0.697,0.446,0.701,0.729,0.459,0.9
5,LightGBM,0.636,0.623,0.614,0.447,0.426,0.686,0.708,0.429,0.673,0.739,0.428,0.896,0.7,0.59,0.447,0.333,0.721,0.677,0.194,0.768,0.688,0.43,0.896,0.66,0.602,0.447,0.374,0.703,0.692,0.267,0.717,0.713,0.429,0.896
